date,sig_atm,sig_mfiv,rho_implied,rho_mfiv,d_rho
1996-03-29,0.158591,0.16513181051707296,0.39832067916669206,0.43313315387240403,0.03481247470571195
1996-06-28,0.128733,0.13318623122217485,0.2903521521677189,0.31187713637056014,0.021524984202841203
1996-09-30,0.15001,0.1574844315523777,0.3888177160846244,0.43014157918056656,0.04132386309594218
1996-12-31,0.179815,0.18894165826924028,0.4745709248297539,0.5258047406479286,0.05123381581817476
1997-03-31,0.1904275,0.19454823372472194,0.4337677995055328,0.4535109690678317,0.01974316956229891
1997-06-30,0.19521850000000002,0.1964928231112157,0.47498871579517454,0.4814359198107311,0.006447204015556524
1997-09-30,0.21661950000000002,0.2229853469312125,0.4928311428847055,0.5232263851683606,0.030395242283655168
1997-12-31,0.2087165,0.22332913057098883,0.46758751504900836,0.5376452272868215,0.07005771223781317
1998-03-31,0.21346500000000002,0.22520001089696431,0.5704700247941666,0.6367532195699334,0.06628319477576672
1998-06-30,0.18319249999999998,0.19242713031208772,0.3938569258600654,0.4362666924392363,0.04240976657917094
1998-09-30,0.3453025,0.3660929194669732,0.7367589773641378,0.8302394196669612,0.09348044230282351
1998-12-31,0.24681199999999998,0.2635329065086759,0.47148273469761603,0.5399380903605496,0.06845535566293358
1999-03-31,0.23083,0.24482213762909208,0.3661110516094683,0.4142587426895037,0.04814769108003542
1999-06-30,0.2034605,0.21485017649001772,0.30336946001773013,0.34040647099583465,0.037037010978104495
1999-09-30,0.2390895,0.2527406638587513,0.39709393468346255,0.4459728710075214,0.048878936324058875
1999-12-31,0.218115,0.22892821791914086,0.24215623299670028,0.2689159219227197,0.026759688926019418
2000-03-31,0.224889,0.2273752715697085,0.194818184818239,0.19962551079717727,0.0048073259789382745
2000-06-30,0.19196950000000002,0.19591254910323413,0.18289036948743084,0.19131323702502107,0.008422867537590232
2000-09-29,0.18006850000000002,0.20636517599126275,0.15817111324474284,0.2136935160985016,0.055522402853758764
2000-12-29,0.2332305,0.24131352411707707,0.21980129204164012,0.23669646635311892,0.016895174311478807
2001-03-30,0.247086,0.2512896650347233,0.28940331746388415,0.2999632641388287,0.010559946674944556
2001-06-29,0.177481,0.18376068846686913,0.2509979235126498,0.2705290553426573,0.01953113183000748
2001-09-28,0.2603515,0.26960308848225273,0.4298594099581405,0.46234918333743635,0.032489773379295865
2001-12-31,0.21182800000000002,0.2236399297952658,0.39818954718865707,0.44611255930702337,0.04792301211836632
